experiment_cv_id,model_id,model_name,dataset_config,fold,n_fold_eval,accuracy,balanced_accuracy,macro_f1,f1_bajo,f1_medio,f1_alto,runtime_sec
M03_corr_060_080_cv,M03,LightGBM Optuna,corr_060_080,1,515,0.883495145631068,0.8827947310630261,0.8824472587416684,0.9085714285714286,0.8379204892966361,0.9008498583569405,1.3649170398712158
M03_corr_060_080_cv,M03,LightGBM Optuna,corr_060_080,2,515,0.8932038834951457,0.8924874872378666,0.8925180662562276,0.9152542372881356,0.8383233532934131,0.9239766081871345,1.1816587448120117
M03_corr_060_080_cv,M03,LightGBM Optuna,corr_060_080,3,514,0.877431906614786,0.8765628596578859,0.8769621111016065,0.9265536723163842,0.8221574344023324,0.8821752265861027,2.0612237453460693
M03_corr_060_080_cv,M03,LightGBM Optuna,corr_060_080,4,514,0.8735408560311284,0.8726625844356485,0.872592011465713,0.9096045197740112,0.8108108108108109,0.8973607038123167,1.1194045543670654
M03_corr_060_080_cv,M03,LightGBM Optuna,corr_060_080,5,514,0.8832684824902723,0.8817158919883101,0.8814533481991248,0.912568306010929,0.8173374613003096,0.9144542772861357,1.2496447563171387
M02_corr_060_080_cv,M02,XGBoost Optuna,corr_060_080,1,515,0.8718446601941747,0.870999340023871,0.8706785701346464,0.9054441260744985,0.8170731707317073,0.8895184135977338,0.931999921798706
M02_corr_060_080_cv,M02,XGBoost Optuna,corr_060_080,2,515,0.8776699029126214,0.8769826661927294,0.8766239744076593,0.8997134670487106,0.8132530120481928,0.9169054441260746,2.9127449989318848
M02_corr_060_080_cv,M02,XGBoost Optuna,corr_060_080,3,514,0.8793774319066148,0.8784813224995672,0.8789707373497495,0.9295774647887324,0.8231884057971014,0.8841463414634146,1.7157845497131348
M02_corr_060_080_cv,M02,XGBoost Optuna,corr_060_080,4,514,0.8754863813229572,0.8750039966593898,0.8749172617456499,0.9022988505747126,0.8154761904761905,0.9069767441860465,0.9598193168640137
M02_corr_060_080_cv,M02,XGBoost Optuna,corr_060_080,5,514,0.8715953307392996,0.8703036866567393,0.8700571982567707,0.9131652661064426,0.8048780487804879,0.892128279883382,0.8841769695281982
M01_corr_060_090_cv,M01,Random Forest Base,corr_060_090,1,515,0.8679611650485437,0.8664417839569065,0.8657404184035681,0.9,0.7975077881619937,0.8997134670487106,0.34746360778808594
M01_corr_060_090_cv,M01,Random Forest Base,corr_060_090,2,515,0.8854368932038835,0.8847848190185013,0.8847604626968676,0.9142857142857143,0.8298507462686567,0.9101449275362319,0.3564281463623047
M01_corr_060_090_cv,M01,Random Forest Base,corr_060_090,3,514,0.8832684824902723,0.8823324437864052,0.8825556698859867,0.9243697478991597,0.8284023668639053,0.8948948948948949,0.35706400871276855
M01_corr_060_090_cv,M01,Random Forest Base,corr_060_090,4,514,0.8793774319066148,0.8786153847174378,0.878652035743213,0.9070422535211268,0.8203592814371258,0.9085545722713865,0.34487128257751465
M01_corr_060_090_cv,M01,Random Forest Base,corr_060_090,5,514,0.8793774319066148,0.8786883157215776,0.8786242902301868,0.895774647887324,0.8192771084337349,0.9208211143695014,0.3753833770751953
M03_corr_060_090_cv,M03,LightGBM Base,corr_060_090,1,515,0.8737864077669902,0.8724479361694099,0.8721280777617811,0.9106145251396648,0.8098159509202454,0.8959537572254336,3.3882992267608643
M03_corr_060_090_cv,M03,LightGBM Base,corr_060_090,2,515,0.8854368932038835,0.8847261046287787,0.8845924557740119,0.9142857142857143,0.8288288288288288,0.9106628242074928,1.1112091541290283
M03_corr_060_090_cv,M03,LightGBM Base,corr_060_090,3,514,0.8832684824902723,0.882593205082026,0.8833108581894087,0.9209039548022598,0.8265895953757225,0.9024390243902439,1.1079761981964111
M03_corr_060_090_cv,M03,LightGBM Base,corr_060_090,4,514,0.867704280155642,0.8665546938691576,0.8665779786949703,0.9080779944289693,0.7987987987987988,0.8928571428571429,1.3742997646331787
M03_corr_060_090_cv,M03,LightGBM Base,corr_060_090,5,514,0.8813229571984436,0.8797014893679145,0.8789514396756682,0.907103825136612,0.8164556962025317,0.9132947976878613,1.1195244789123535
